,date,open,high,low,close,volume
94333,202309140910,33790,33795,33755,33785,45213
94334,202309140915,33785,33800,33760,33795,23700
94335,202309140920,33795,33840,33785,33835,33687
94336,202309140925,33835,33850,33820,33845,33790
94337,202309140930,33840,33845,33820,33825,17873
94338,202309140935,33830,33835,33825,33825,9171
94339,202309140940,33825,33825,33805,33825,70616
94340,202309140945,33820,33835,33805,33825,93588
94341,202309140950,33820,33830,33810,33830,30812
94342,202309140955,33830,33860,33825,33855,85634
94343,202309141000,33850,33860,33845,33850,40241
94409,202309150905,34190,34250,34170,34215,53532
94410,202309150910,34215,34280,34215,34270,55691
94411,202309150915,34270,34315,34265,34265,44903
94412,202309150920,34270,34290,34225,34225,27375
94413,202309150925,34225,34245,34215,34245,29081
94414,202309150930,34250,34285,34250,34280,21169
94415,202309150935,34280,34375,34275,34365,81021
94416,202309150940,34370,34390,34355,34355,58332
94417,202309150945,34350,34380,34340,34380,122863
94418,202309150950,34380,34410,34375,34410,66288
94419,202309150955,34405,34440,34405,34425,67950
94420,202309151000,34425,34440,34410,34430,72214
94486,202309180905,34325,34445,34325,34435,134918
94487,202309180910,34440,34480,34440,34465,43508
94488,202309180915,34470,34490,34420,34425,70494
94489,202309180920,34425,34425,34355,34360,63228
94490,202309180925,34355,34380,34325,34330,45049
94491,202309180930,34330,34370,34330,34355,24151
94492,202309180935,34345,34395,34345,34380,18604
94493,202309180940,34380,34395,34335,34345,16442
94494,202309180945,34340,34380,34335,34370,28251
94495,202309180950,34370,34375,34330,34335,86465
94496,202309180955,34345,34350,34330,34340,11366
94497,202309181000,34340,34350,34325,34330,24345
94563,202309190905,34250,34250,34160,34170,104916
94564,202309190910,34175,34180,34135,34160,62333
94565,202309190915,34165,34195,34150,34155,122581
94566,202309190920,34155,34175,34135,34160,26927
94567,202309190925,34165,34215,34160,34200,47885
94568,202309190930,34210,34230,34205,34230,15141
94569,202309190935,34225,34250,34205,34205,21327
94570,202309190940,34215,34215,34170,34180,18655
94571,202309190945,34180,34190,34155,34160,14222
94572,202309190950,34155,34155,34105,34120,36916
94573,202309190955,34115,34130,34095,34120,19835
94574,202309191000,34115,34115,34085,34085,14354
94640,202309200905,33900,34000,33900,33980,48746
94641,202309200910,33975,33990,33915,33975,62136
94642,202309200915,33975,33975,33900,33905,107753
94643,202309200920,33910,33980,33910,33970,56829
94644,202309200925,33975,34010,33960,33965,66852
94645,202309200930,33965,33990,33945,33965,47509
94646,202309200935,33965,34020,33960,34010,56698
94647,202309200940,34010,34025,33985,34005,65436
94648,202309200945,34010,34020,33985,33995,26831
94649,202309200950,33990,33990,33960,33970,54204
94650,202309200955,33970,33985,33950,33950,28913
94651,202309201000,33950,33970,33945,33960,41415
94717,202309210905,33715,33750,33680,33725,116338
94718,202309210910,33720,33755,33710,33720,118271
94719,202309210915,33720,33765,33720,33765,145209
94720,202309210920,33765,33780,33725,33725,63791
94721,202309210925,33725,33755,33725,33735,31337
94722,202309210930,33735,33735,33700,33700,56448
94723,202309210935,33695,33700,33640,33650,55521
94724,202309210940,33645,33650,33610,33620,106397
94725,202309210945,33620,33620,33540,33540,112919
94726,202309210950,33545,33570,33535,33555,44339
