,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
109,2023-08-31,33485.0,33813.19837408425,33805.0,-0.005198644942981821,-0.02480135505701805,0,0,0,0,0,0.08061284986724071
110,2023-09-01,34010.0,33651.15526424389,33595.0,-0.025551153653516706,-0.004448846346483165,0,0,0,0,0,0.09755541358772146
111,2023-09-05,34025.0,33511.33337857338,33565.0,-0.03009674126162006,9.674126162005707e-05,0,0,0,0,0,0.09707176696011244
112,2023-09-06,33755.0,34059.04457628183,34150.0,-0.005992606242576505,-0.024007393757423324,0,0,0,0,0,0.08836612766314755
113,2023-09-07,33725.0,34045.24375784095,34030.0,-0.005504262184108177,-0.024495737815891823,0,0,0,0,0,0.08739883440792928
114,2023-09-08,33745.0,33777.324489460705,33820.0,-0.014042095437525279,-0.015957904562474676,0,0,0,0,0,0.08804369657807465
115,2023-09-11,33940.0,33747.578104313514,33645.0,-0.020669472471611217,-0.009330527528388699,0,0,0,0,0,0.09433110273699374
116,2023-09-12,33650.0,33763.97998503639,33765.0,-0.011612779047952675,-0.018387220952047326,0,0,0,0,0,0.0849806012698835
117,2023-09-13,33770.0,33961.61834804517,33935.0,-0.00932578181684403,-0.020674218183155926,0,0,0,0,0,0.0888497742907568
118,2023-09-14,34190.0,33674.17606964544,33710.0,-0.030086982461379405,8.698246137949108e-05,0,0,0,0,0,0.10239187986381326
119,2023-09-15,34325.0,33783.3440420541,33810.0,-0.030780217274461733,0.0007802172744617331,0,0,0,0,0,0.10674469951229582
120,2023-09-18,34250.0,34212.059252060615,34185.0,-0.016107759063923647,-0.013892240936076354,0,0,0,0,0,0.10432646637425003
121,2023-09-19,33900.0,34381.557836216605,34400.0,-0.0007947540939054511,-0.029205245906094548,0,0,0,0,0,0.09304137839670301
122,2023-09-20,33715.0,34306.01184650478,34205.0,0.002529641005628935,-0.03252964100562885,0,0,0,0,0,0.08707640332285682
123,2023-09-21,33005.0,33945.52391200318,33990.0,0.013496406968737447,-0.04349640696873738,0,0,0,0,0,0.06418379628269011
124,2023-09-22,33105.0,33771.54122121334,33715.0,0.005134155602275812,-0.03513415560227574,0,0,0,0,0,0.06740810713341783
