,date,open
996,20221027,29121
997,20221028,29247
998,20221031,29267
999,20221101,29591
1000,20221102,29689
1001,20221103,29243
1002,20221104,29645
1003,20221107,30136
1004,20221108,30451
1005,20221109,30780
1006,20221110,30809
1007,20221111,31659
1008,20221114,31860
1009,20221115,31742
1010,20221116,31590
1011,20221118,31359
1012,20221121,31040
1013,20221122,30937
1014,20221123,30971
1015,20221124,31133
1016,20221125,31099
1017,20221128,30613
1018,20221129,30706
1019,20221130,30922
1020,20221201,31884
1021,20221202,31330
1022,20221205,30991
1023,20221206,30667
1024,20221207,30455
1025,20221208,30318
1026,20221209,30460
1027,20221212,30480
1028,20221213,30578
1029,20221214,30750
1030,20221215,30608
1031,20221216,29989
1032,20221219,30102
1033,20221220,29989
1034,20221221,29989
1035,20221222,29940
1036,20221223,29851
1037,20221226,29694
1038,20221227,29969
1039,20221228,29748
1040,20221229,29454
1041,20230103,28639
1042,20230104,28815
1043,20230105,29763
1044,20230106,29817
1045,20230109,30509
1046,20230110,30809
1047,20230111,31059
1048,20230112,30991
1049,20230113,31177
1050,20230116,31408
1051,20230117,31531
1052,20230118,31050
1053,20230119,31035
1054,20230120,31388
1055,20230125,31899
1056,20230126,32022
1057,20230127,32483
1058,20230130,32577
1059,20230131,32030
1060,20230201,31873
1061,20230202,32399
1062,20230203,32286
1063,20230206,32011
1064,20230207,31863
1065,20230208,32247
1066,20230209,32198
1067,20230210,32217
1068,20230213,32016
1069,20230214,32463
1070,20230215,32016
1071,20230216,31966
1072,20230217,32060
1073,20230220,31789
1074,20230221,31907
1075,20230222,31612
1076,20230223,31755
1077,20230224,31927
1078,20230227,31194
1079,20230228,31479
1080,20230302,31671
1081,20230303,31577
1082,20230306,31740
1083,20230307,31947
1084,20230308,31469
1085,20230309,31543
1086,20230310,30933
1087,20230313,31012
1088,20230314,30736
1089,20230315,30834
1090,20230316,30470
1091,20230317,31056
1092,20230320,31120
1093,20230321,30997
1094,20230322,31159
1095,20230323,31139
1096,20230324,31405
1097,20230327,31208
1098,20230328,31336
1099,20230329,31577
1100,20230330,31676
1101,20230331,31937
1102,20230403,32065
1103,20230404,32183
1104,20230405,32311
1105,20230406,32065
1106,20230407,32104
1107,20230410,32532
1108,20230411,32749
1109,20230412,33182
1110,20230413,33054
1111,20230414,33399
1112,20230417,33295
1113,20230418,33290
1114,20230419,33369
1115,20230420,33211
1116,20230421,33084
1117,20230424,32941
1118,20230425,32852
1119,20230426,32449
1120,20230427,32195
1121,20230428,32609
1122,20230502,32829
1123,20230503,32694
1124,20230504,32524
1125,20230508,32894
1126,20230509,32739
1127,20230510,32699
1128,20230511,32724
1129,20230512,32370
1130,20230515,32285
1131,20230516,32724
1132,20230517,32519
1133,20230518,32884
1134,20230519,33223
1135,20230522,33557
1136,20230523,33707
1137,20230524,33632
1138,20230525,33702
1139,20230526,33637
1140,20230530,33976
1141,20230531,34166
1142,20230601,33896
1143,20230602,34051
1144,20230605,34370
1145,20230607,34460
1146,20230608,34106
1147,20230609,34350
1148,20230612,34700
1149,20230613,34640
1150,20230614,34460
1151,20230615,34575
1152,20230616,34326
1153,20230619,34301
1154,20230620,34121
1155,20230621,34091
1156,20230622,33946
1157,20230623,34046
1158,20230626,33822
1159,20230627,33857
1160,20230628,33996
1161,20230629,34036
1162,20230630,33552
1163,20230703,34191
1164,20230704,34445
1165,20230705,34181
1166,20230706,33727
1167,20230707,33318
1168,20230710,33303
1169,20230711,33507
1170,20230712,33787
1171,20230713,34281
1172,20230714,34465
1173,20230717,34640
1174,20230718,34605
1175,20230719,34475
1176,20230720,34196
1177,20230721,33891
1178,20230724,34201
1179,20230725,34525
1180,20230726,34525
1181,20230727,34311
1182,20230728,34370
1183,20230731,34660
