date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2019-01-04,257.89,2.12,0.83,8.4,0.86,2.04
2019-01-07,261.57,3.68,1.43,8.52,0.88,2.01
2019-01-08,259.65,-1.92,-0.73,8.46,0.87,2.03
2019-01-09,265.6,5.95,2.29,8.65,0.89,1.98
2019-01-10,265.55,-0.05,-0.02,8.65,0.89,1.98
2019-01-11,267.13,1.58,0.59,8.7,0.89,1.97
2019-01-14,264.99,-2.14,-0.8,8.63,0.89,1.98
2019-01-15,269.93,4.94,1.86,8.79,0.9,1.95
2019-01-16,271.23,1.3,0.48,8.84,0.91,1.94
2019-01-17,271.88,0.65,0.24,8.86,0.91,1.93
2019-01-18,273.88,2.0,0.74,8.92,0.92,1.92
2019-01-21,274.0,0.12,0.04,8.93,0.92,1.92
2019-01-22,272.71,-1.29,-0.47,8.88,0.91,1.93
2019-01-23,273.87,1.16,0.43,8.92,0.92,1.92
2019-01-24,276.61,2.74,1.0,9.01,0.93,1.9
2019-01-25,281.67,5.06,1.83,9.18,0.94,1.87
2019-01-28,281.64,-0.03,-0.01,9.17,0.94,1.87
2019-01-29,283.0,1.36,0.48,9.22,0.95,1.86
2019-01-30,286.62,3.62,1.28,9.34,0.96,1.84
2019-01-31,285.89,-0.73,-0.25,9.31,0.96,1.84
2019-02-01,285.79,-0.1,-0.03,9.31,0.96,1.84
2019-02-07,285.65,-0.14,-0.05,9.3,0.96,1.84
2019-02-08,281.49,-4.16,-1.46,9.17,0.94,1.87
2019-02-11,282.1,0.61,0.22,9.19,0.94,1.86
2019-02-12,283.69,1.59,0.56,9.24,0.95,1.85
2019-02-13,284.97,1.28,0.45,9.35,0.96,1.83
2019-02-14,288.68,3.71,1.3,9.46,0.98,1.8
2019-02-15,283.98,-4.7,-1.63,9.31,0.96,1.83
2019-02-18,285.9,1.92,0.68,9.37,0.97,1.82
2019-02-19,284.91,-0.99,-0.35,9.34,0.96,1.83
2019-02-20,288.4,3.49,1.22,9.46,0.98,1.8
2019-02-21,288.41,0.01,0.0,9.46,0.98,1.8
2019-02-22,288.74,0.33,0.11,9.47,0.98,1.8
2019-02-25,289.0,0.26,0.09,9.48,0.98,1.8
2019-02-26,287.89,-1.11,-0.38,9.45,0.97,1.81
2019-02-27,288.76,0.87,0.3,9.47,0.98,1.8
2019-02-28,283.8,-4.96,-1.72,9.31,0.96,1.83
2019-03-04,282.51,-1.29,-0.45,9.27,0.96,1.84
2019-03-05,280.45,-2.06,-0.73,9.2,0.95,1.85
2019-03-06,279.85,-0.6,-0.21,9.18,0.95,1.86
2019-03-07,278.87,-0.98,-0.35,9.15,0.94,1.86
2019-03-08,274.84,-4.03,-1.45,9.02,0.93,1.89
2019-03-11,275.06,0.22,0.08,9.02,0.93,1.89
2019-03-12,277.73,2.67,0.97,9.11,0.94,1.87
2019-03-13,276.0,-1.73,-0.62,9.05,0.93,1.88
2019-03-14,276.64,0.64,0.23,9.08,0.94,1.88
2019-03-15,279.87,3.23,1.17,9.18,0.95,1.86
2019-03-18,279.93,0.06,0.02,9.18,0.95,1.86
2019-03-19,279.82,-0.11,-0.04,9.18,0.95,1.86
2019-03-20,279.92,0.1,0.04,9.18,0.95,1.86
2019-03-21,282.38,2.46,0.88,9.26,0.96,1.84
2019-03-22,283.13,0.75,0.27,9.28,0.96,1.84
2019-03-25,277.45,-5.68,-2.01,9.09,0.94,1.87
2019-03-26,277.6,0.15,0.05,9.1,0.94,1.87
2019-03-27,277.28,-0.32,-0.12,9.09,0.94,1.87
2019-03-28,275.08,-2.2,-0.79,9.02,0.93,1.89
2019-03-29,276.48,1.4,0.51,9.06,0.94,1.88
2019-04-01,280.32,3.84,1.39,9.19,0.95,1.85
