date,open,high,low,close,volume
20210128,14647,14828,14505,14617,10840228
20210129,14637,14696,14005,14137,11172875
20210201,14137,14750,14132,14725,9334084
20210202,14779,14921,14564,14725,5045141
20210203,14804,14804,14514,14799,4235137
20210204,14740,14745,14465,14627,4885866
20210205,14662,14740,14524,14657,3314019
20210208,14632,14686,14475,14534,3021227
20210209,14568,14598,14416,14416,2509852
20210210,14402,14534,14264,14485,4735153
20210215,14554,14784,14500,14706,3586580
20210216,14725,14809,14397,14465,5676192
20210217,14416,14431,14279,14392,3872425
20210218,14358,14426,14196,14196,3472514
20210219,14166,14255,13872,14245,2866054
20210222,14284,14313,13872,13941,5483546
20210223,13843,13897,13593,13612,6113664
20210224,13637,13867,13146,13205,6242482
20210225,13416,13867,13396,13833,5761962
20210226,13485,13583,13279,13401,4823112
20210302,13735,13941,13475,13745,4852112
20210303,13642,13882,13637,13828,4526061
20210304,13642,13779,13524,13740,3150326
20210305,13568,13789,13426,13754,3220814
20210308,13877,13887,13347,13396,5687622
20210309,13362,13436,13009,13308,6223297
20210310,13534,13583,13220,13244,4089459
20210311,13338,13617,13240,13578,2828512
20210312,13651,13857,13637,13774,5232447
20210315,13754,13818,13691,13710,2350828
20210316,13789,14093,13779,14058,4171438
20210317,14039,14088,13877,14063,3319462
20210318,14142,14245,14058,14093,2293691
20210319,13892,14157,13887,14078,1653329
20210322,14014,14191,13960,14166,2231666
20210323,14196,14318,14054,14083,2678156
20210324,14000,14245,13965,14186,2658527
20210325,14122,14230,14044,14201,2389675
20210326,14235,14240,14068,14171,2851425
20210329,14250,14250,14063,14112,2857942
20210330,14112,14215,14107,14127,2057890
20210331,14127,14201,14019,14024,2726986
20210401,14063,14186,13975,14161,1942542
20210402,14240,14255,14107,14166,2946263
20210405,14171,14196,14039,14073,2537093
20210406,14117,14142,13941,14000,2400292
20210407,14024,14088,13955,14024,2462234
20210408,14039,14235,14000,14215,2268553
20210409,14235,14367,14220,14289,2571565
20210412,14318,14416,14255,14412,4436088
20210413,14382,14701,14382,14676,5541801
20210414,14701,14769,14637,14696,3825174
20210415,14681,14701,14578,14676,2620264
20210416,14701,14843,14642,14799,4803072
20210419,14725,15039,14725,14956,3752031
20210420,14936,14980,14843,14897,3636223
20210421,14814,14858,14632,14701,6801821
20210422,14745,14814,14696,14730,4723500
20210423,14642,14828,14608,14735,1564364
20210426,14755,14779,14681,14765,2450155
20210427,14755,14765,14549,14559,1618206
20210428,14510,14554,14098,14122,6518529
20210429,14177,14330,13914,13934,6636201
20210430,13969,14028,13706,13875,4657974
20210503,13885,13954,13434,13478,6951891
20210504,13399,13627,13206,13587,8453489
20210506,13543,13587,13399,13558,5523151
20210507,13602,13805,13573,13731,3723748
20210510,13825,14063,13756,14048,5150628
20210511,13899,13949,13642,13696,5609534
20210512,13716,13756,13409,13518,4240317
20210513,13305,13538,13285,13305,4096861
20210514,13419,13637,13370,13632,3393104
20210517,13736,13766,13528,13617,2381182
20210518,13622,13830,13602,13810,5263155
20210520,13741,13840,13662,13800,2789347
20210521,13894,13979,13706,13716,4133583
20210524,13672,13696,13459,13459,6399029
20210525,13533,13766,13533,13721,8967797
20210526,13741,13781,13682,13706,4241109
20210527,13731,13835,13568,13835,2983603
20210528,13850,13909,13790,13815,3251612
20210531,13855,13924,13820,13865,2176567
20210601,13865,13904,13805,13870,2443281
20210602,13860,13889,13686,13696,2582796
20210603,13746,13929,13696,13870,2215285
20210604,13805,13810,13686,13756,1120567
20210607,13830,13860,13642,13706,2507990
20210608,13751,13835,13716,13776,1203414
20210609,13771,13790,13582,13582,1488897
20210610,13587,13969,13573,13860,3737215
20210611,13904,13984,13815,13875,2333472
20210614,13909,14063,13894,14028,2156234
20210615,14013,14053,13899,13954,2229712
20210616,13919,13974,13870,13924,2296567
20210617,13835,14023,13815,13998,1916742
20210618,13989,14340,13989,14325,2785228
20210621,14177,14310,14162,14256,2860311
20210622,14305,14340,14187,14226,2289582
20210623,14266,14454,14266,14355,3409708
20210624,14375,14395,14256,14271,2233182
20210625,14345,14365,14162,14162,1754362
20210628,14236,14281,14182,14226,1383348
20210629,14261,14399,14246,14325,2443711
20210630,14315,14499,14305,14434,2569378
20210701,14404,14558,14395,14538,2607039
20210702,14543,14603,14474,14573,2934584
20210705,14612,14850,14612,14801,4461544
20210706,14756,14806,14622,14657,2648900
20210707,14657,14776,14617,14697,2125669
20210708,14692,14741,14424,14474,2128849
20210709,14404,14469,14221,14429,4106010
20210712,14494,14538,14385,14439,2328503
20210713,14464,14647,14444,14558,3390816
20210714,14499,14583,14429,14568,4299423
20210715,14578,14825,14568,14741,2202154
20210716,14657,14771,14593,14682,2572872
20210719,14588,14746,14588,14707,3190246
20210720,14588,14731,14528,14627,2361953
20210721,14707,14726,14583,14632,3807559
20210722,14707,14815,14677,14806,2923597
20210723,14806,14969,14796,14830,2599987
20210726,14895,14905,14652,14707,2403113
20210727,14736,14806,14632,14637,1735824
20210728,14583,14672,14375,14444,4884643
20210729,14508,14583,14479,14558,2503634
20210730,14518,14528,14291,14310,2893560
20210802,14385,14538,14355,14489,4008990
20210803,14469,14598,14370,14474,3597741
20210804,14503,14677,14449,14677,2816995
20210805,14677,14825,14677,14736,4159779
20210806,14761,14855,14711,14810,1398775
20210809,14707,14855,14657,14855,2720300
20210810,14810,14865,14667,14692,2657872
20210811,14647,14815,14593,14741,2428176
20210812,14736,14796,14682,14687,1779831
20210813,14662,14697,14380,14553,4035587
20210817,14553,14583,14246,14266,3665704
20210818,14211,14523,14147,14454,4264805
20210819,14345,14484,14112,14112,5275093
20210820,14206,14315,13805,13880,10108341
20210823,13998,14300,13974,14276,4134845
20210824,14395,14558,14345,14558,3489053
20210825,14593,14622,14424,14622,4418434
20210826,14642,14711,14533,14672,5778305
20210827,14603,14746,14558,14652,3266990
20210830,14756,14895,14711,14761,2719555
20210831,14751,14895,14612,14895,4641903
20210901,14815,15004,14815,14999,5220863
20210902,14949,15014,14900,14959,1892994
20210903,14969,15068,14939,15028,1402105
20210906,15023,15122,14964,15038,2274596
20210907,15018,15088,14974,15088,827774
20210908,15023,15033,14756,14781,2147853
20210909,14707,14850,14667,14697,1047212
20210910,14672,14855,14672,14830,1314863
20210913,14761,14786,14647,14677,1991296
20210914,14697,14934,14687,14880,1648925
20210915,14865,15053,14855,15043,2297930
20210916,15088,15093,14910,14999,1354951
20210917,15014,15103,14914,15073,1387482
20210923,15043,15167,14924,15078,2094450
20210924,15137,15142,14959,15048,1859161
20210927,15018,15058,14890,14949,1904082
20210928,14905,14914,14543,14543,3258440
20210929,14345,14464,14256,14419,4279100
20210930,14399,15108,14320,14523,3525403
20211001,14385,14429,14137,14192,5829135
20211005,14048,14157,13870,13885,5485918
20211006,13954,14043,12973,13508,9425917
20211007,13691,13899,13686,13865,7256799
20211008,13934,13959,13731,13785,3408468
20211012,13701,13741,13503,13573,4171433
20211013,13563,13840,13563,13736,2308982
20211014,13889,14251,13830,14236,4225935
20211015,14335,14360,14112,14241,3312479
20211018,14246,14365,14137,14271,2713051
20211019,14340,14508,14305,14479,4406973
20211020,14523,14568,14360,14385,2245788
20211021,14390,14429,14172,14182,2530867
20211022,14182,14414,14157,14241,2987696
20211025,14221,14291,14152,14286,1875480
20211026,14375,14598,14350,14558,2872291
20211027,14558,14583,14464,14533,2246639
20211028,14499,14553,14335,14335,1915510
20211029,14419,14424,14187,14206,2436570
20211101,14300,14474,14271,14380,3228775
20211102,14380,14607,14370,14528,3007230
20211103,14543,14667,14439,14489,2063503
